2, 8, 14 ,3.100, 1.750,    0.292, 0.470, 0.375, 0.384,    0.009
2, 8, 14 ,3.300, 1.000,    0.356, 0.468, 0.468, 0.379,    -0.089
2, 8, 14 ,3.300, 1.150,    0.327, 0.455, 0.446, 0.364,    -0.083
2, 8, 14 ,3.300, 1.300,    0.325, 0.459, 0.429, 0.367,    -0.062
2, 8, 14 ,3.300, 1.450,    0.317, 0.471, 0.440, 0.377,    -0.063
2, 8, 14 ,3.300, 1.600,    0.307, 0.461, 0.423, 0.390,    -0.032
2, 8, 14 ,3.300, 1.750,    0.309, 0.461, 0.409, 0.385,    -0.023
2, 8, 14 ,3.500, 1.000,    0.365, 0.451, 0.418, 0.369,    -0.049
2, 8, 14 ,3.500, 1.150,    0.338, 0.452, 0.452, 0.364,    -0.088
2, 8, 14 ,3.500, 1.300,    0.340, 0.463, 0.463, 0.358,    -0.105
2, 8, 14 ,3.500, 1.450,    0.319, 0.454, 0.440, 0.370,    -0.069
2, 8, 14 ,3.500, 1.600,    0.318, 0.470, 0.452, 0.385,    -0.067
2, 8, 14 ,3.500, 1.750,    0.309, 0.466, 0.433, 0.386,    -0.047
2, 8, 14 ,3.700, 1.000,    0.354, 0.444, 0.427, 0.354,    -0.073
2, 8, 14 ,3.700, 1.150,    0.374, 0.473, 0.472, 0.377,    -0.095
2, 8, 14 ,3.700, 1.300,    0.362, 0.460, 0.457, 0.367,    -0.090
2, 8, 14 ,3.700, 1.450,    0.349, 0.456, 0.449, 0.368,    -0.081
2, 8, 14 ,3.700, 1.600,    0.334, 0.458, 0.454, 0.387,    -0.067
2, 8, 14 ,3.700, 1.750,    0.328, 0.465, 0.458, 0.387,    -0.071
2, 8, 14 ,3.900, 1.000,    0.351, 0.442, 0.415, 0.351,    -0.064
2, 8, 14 ,3.900, 1.150,    0.356, 0.435, 0.429, 0.356,    -0.074
2, 8, 14 ,3.900, 1.300,    0.369, 0.453, 0.443, 0.376,    -0.067
2, 8, 14 ,3.900, 1.450,    0.362, 0.462, 0.458, 0.362,    -0.096
2, 8, 14 ,3.900, 1.600,    0.336, 0.446, 0.438, 0.366,    -0.072
2, 8, 14 ,3.900, 1.750,    0.326, 0.462, 0.442, 0.390,    -0.052
2, 8, 19 ,1.900, 1.000,    0.214, 0.380, 0.302, 0.271,    -0.031
2, 8, 19 ,1.900, 1.150,    0.212, 0.402, 0.310, 0.310,    0.000
