Loading Images
Loaded
2, 35, 39, 3.159, 1.318, 0.344, 0.177,   -0.167
1, 37, 42, 4.030, 2.205, 0.447, 0.275,   -0.172
2, 10, 23, 2.277, 1.242, 0.372, 0.261,   -0.111
1, 2, 34, 3.403, 2.981, 0.458, 0.351,   -0.107
2, 29, 41, 4.970, 1.089, 0.355, 0.210,   -0.145
1, 13, 23, 3.190, 1.204, 0.443, 0.305,   -0.138
1, 15, 34, 5.955, 3.175, 0.444, 0.309,   -0.134
1, 31, 33, 3.453, 1.303, 0.396, 0.258,   -0.138
1, 24, 33, 1.433, 2.653, 0.464, 0.135,   -0.329
1, 7, 28, 5.788, 6.073, 0.440, 0.371,   -0.069
2, 23, 44, 3.670, 1.690, 0.366, 0.257,   -0.109
1, 40, 45, 1.835, 1.611, 0.581, 0.137,   -0.444
1, 41, 46, 5.241, 1.744, 0.457, 0.256,   -0.201
2, 20, 31, 5.058, 2.535, 0.384, 0.299,   -0.085
1, 33, 43, 4.527, 2.023, 0.404, 0.271,   -0.132
2, 34, 39, 3.444, 2.260, 0.278, 0.160,   -0.118
1, 16, 18, 1.838, 1.724, 0.373, 0.293,   -0.081
1, 17, 42, 4.644, 2.871, 0.428, 0.297,   -0.131
1, 36, 38, 3.053, 1.363, 0.405, 0.229,   -0.176
1, 41, 44, 2.385, 1.304, 0.464, 0.194,   -0.270
2, 27, 38, 5.206, 2.268, 0.369, 0.264,   -0.104
1, 25, 31, 4.743, 1.545, 0.438, 0.290,   -0.148
1, 20, 24, 4.523, 1.185, 0.430, 0.273,   -0.156
1, 34, 36, 2.695, 0.898, 0.408, 0.211,   -0.197
2, 37, 46, 5.256, 2.035, 0.377, 0.250,   -0.127
1, 31, 43, 2.816, 1.538, 0.438, 0.253,   -0.185
2, 13, 36, 2.516, 5.215, 0.318, 0.191,   -0.127
2, 21, 39, 3.152, 2.416, 0.347, 0.262,   -0.086
1, 13, 32, 1.321, 1.858, 0.372, 0.277,   -0.095
1, 39, 45, 5.351, 1.556, 0.451, 0.257,   -0.194
2, 23, 39, 4.349, 2.296, 0.382, 0.283,   -0.099
1, 12, 42, 4.566, 1.753, 0.441, 0.306,   -0.134
1, 20, 30, 5.930, 1.193, 0.435, 0.263,   -0.172
1, 40, 47, 1.545, 2.247, 0.594, 0.090,   -0.504
2, 33, 43, 4.121, 2.197, 0.327, 0.208,   -0.119
1, 14, 22, 4.459, 1.162, 0.406, 0.300,   -0.106
2, 7, 15, 2.765, 2.998, 0.361, 0.300,   -0.060
2, 39, 48, 5.742, 2.093, 0.358, 0.213,   -0.144
1, 41, 47, 4.930, 2.016, 0.446, 0.248,   -0.198
2, 2, 26, 4.804, 10.511, 0.370, 0.284,   -0.087
2, 19, 25, 5.709, 2.393, 0.394, 0.303,   -0.092
1, 19, 30, 2.356, 1.370, 0.365, 0.277,   -0.088
2, 33, 46, 2.188, 2.680, 0.346, 0.105,   -0.241
1, 41, 47, 1.007, 0.924, 0.608, 0.034,   -0.574
2, 31, 45, 3.316, 2.896, 0.366, 0.208,   -0.158
2, 40, 45, 4.465, 2.155, 0.319, 0.177,   -0.142
1, 29, 43, 5.758, 2.276, 0.467, 0.294,   -0.172
2, 20, 26, 2.926, 2.575, 0.243, 0.200,   -0.043
2, 3, 15, 5.294, 1.952, 0.367, 0.283,   -0.083
2, 34, 36, 1.430, 1.121, 0.406, 0.091,   -0.315
1, 32, 34, 4.211, 1.221, 0.400, 0.196,   -0.204
1, 21, 39, 1.853, 1.088, 0.403, 0.273,   -0.130
1, 14, 34, 5.799, 3.527, 0.446, 0.319,   -0.127
2, 25, 43, 5.579, 2.623, 0.344, 0.222,   -0.123
1, 30, 37, 2.878, 2.352, 0.483, 0.260,   -0.223
2, 29, 37, 4.872, 1.899, 0.379, 0.281,   -0.099
1, 37, 43, 5.267, 1.431, 0.465, 0.250,   -0.215
1, 27, 30, 1.090, 1.393, 0.473, 0.102,   -0.371
1, 35, 42, 1.460, 0.983, 0.512, 0.130,   -0.382
1, 27, 31, 3.298, 1.438, 0.369, 0.258,   -0.111
1, 32, 43, 3.989, 2.361, 0.429, 0.259,   -0.169
2, 18, 39, 2.711, 1.579, 0.286, 0.217,   -0.069
1, 34, 39, 5.907, 1.071, 0.433, 0.171,   -0.262
1, 36, 45, 4.205, 2.035, 0.435, 0.261,   -0.174
1, 32, 41, 1.917, 1.918, 0.527, 0.185,   -0.342
1, 27, 32, 2.524, 2.138, 0.432, 0.260,   -0.172
2, 10, 24, 4.555, 3.756, 0.379, 0.316,   -0.062
2, 29, 41, 4.846, 1.486, 0.364, 0.225,   -0.140
1, 3, 20, 5.877, 4.708, 0.465, 0.362,   -0.103
2, 23, 37, 1.774, 1.383, 0.232, 0.130,   -0.102
2, 2, 40, 5.371, 12.964, 0.335, 0.244,   -0.091
1, 41, 45, 3.764, 1.336, 0.435, 0.186,   -0.249
